Modelo,Min,Max,Media,Std,Pixeles_validos
analisis_condicional,0.0,0.0,0.0,0.0,3274610
lda,0.018226499073528718,0.7817831567224901,0.10481010816059425,0.08657028434763259,3274610
regresion_logistica,0.018012308122631597,0.8076264094509844,0.1068625732426263,0.09216911363452154,3274610
poisson,0.0,1.0,0.038780427836587764,0.06204265464743229,3274610
gam,1.6999018714042642e-26,0.775669660163167,0.07817005915639916,0.09320783790358936,3274610
svm,0.008795403005362759,0.04648021139464676,0.01734011142585255,0.0020229020448059767,3274610
random_forest,0.0,0.94,0.01764880459047033,0.04045604466666603,3274610
redes_neuronales,4.931833177587426e-09,0.19724895095439168,0.015468002889869539,0.016706688207405184,3274610
