Tipo,Fecha,Modelo,LAT,LOG
Deslizamiento,2018,1.000000000000000,6.842690670300000,-75.446089810700002
Deslizamiento,2018,1.000000000000000,6.837641850020000,-75.448835874400004
Deslizamiento,2018,1.000000000000000,6.839526073380000,-75.437203073500001
Deslizamiento,2023,1.000000000000000,6.839484603010000,-75.436640783000001
Deslizamiento,2018,1.000000000000000,6.840133583800000,-75.352728048299994
Deslizamiento,2018,1.000000000000000,6.839758001020000,-75.352869612800006
Deslizamiento,2018,1.000000000000000,6.839878867410000,-75.353359098499993
Deslizamiento,2018,1.000000000000000,6.839301371570000,-75.353998847599996
Deslizamiento,2018,1.000000000000000,6.841216756810000,-75.357726245300000
Deslizamiento,2018,1.000000000000000,6.839739403250000,-75.360340331600000
Deslizamiento,2018,1.000000000000000,6.842918493760000,-75.360692224299996
Deslizamiento,2018,1.000000000000000,6.842410969020000,-75.361290035699994
Deslizamiento,2018,1.000000000000000,6.840925187670000,-75.359824931500000
Deslizamiento,2018,1.000000000000000,6.842646103910000,-75.358597564500002
Deslizamiento,2018,1.000000000000000,6.842855918760000,-75.358099007299998
Deslizamiento,2018,1.000000000000000,6.840718781050000,-75.356765902099994
Deslizamiento,2018,1.000000000000000,6.842941199920000,-75.356692270400004
Deslizamiento,2018,1.000000000000000,6.842363344500000,-75.356554336499997
Deslizamiento,2018,1.000000000000000,6.840276255770000,-75.359447901400003
Deslizamiento,2018,1.000000000000000,6.840913962630000,-75.359553478999999
Deslizamiento,2018,1.000000000000000,6.840835324070000,-75.359350196099996
Deslizamiento,2018,1.000000000000000,6.840626539440000,-75.359248169799997
Deslizamiento,2018,1.000000000000000,6.839639809500000,-75.359112503999995
Deslizamiento,2018,1.000000000000000,6.839131121580000,-75.359146765000006
Deslizamiento,2018,1.000000000000000,6.838198864140000,-75.359732091599994
Deslizamiento,2018,1.000000000000000,6.836190749090000,-75.355544451399993
Deslizamiento,2018,1.000000000000000,6.835978433570000,-75.354205741200005
Deslizamiento,2018,1.000000000000000,6.837990094790000,-75.350557777999995
Deslizamiento,2018,1.000000000000000,6.836833035170000,-75.350031519500007
Deslizamiento,2018,1.000000000000000,6.837501282870000,-75.350680697900003
Deslizamiento,2018,1.000000000000000,6.837537728310000,-75.351146657000001
Deslizamiento,2018,1.000000000000000,6.837521117190000,-75.351295344700006
Deslizamiento,2018,1.000000000000000,6.837731202460000,-75.352106020199997
Deslizamiento,2018,1.000000000000000,6.837525764590000,-75.352405186200002
Deslizamiento,2018,1.000000000000000,6.837435019200000,-75.352724960299994
Deslizamiento,2016,1.000000000000000,6.835498805030000,-75.352427700999996
Deslizamiento,2018,1.000000000000000,6.836293733410000,-75.353076806299995
