Id,Fecha,Descrip
1,10/14/1944 0:00,Deslizamiento
2,10/14/1944 0:00,Deslizamiento
3,11/25/1956 0:00,Deslizamiento
4,11/26/1956 0:00,Deslizamiento
5,11/27/1956 0:00,Flujo
6,2/12/1966 0:00,Deslizamiento
7,5/14/1971 0:00,Flujo
8,2/5/1972 0:00,Deslizamiento
9,4/30/1972 0:00,Deslizamiento
10,5/1/1972 0:00,Deslizamiento
11,5/9/1972 0:00,Deslizamiento
12,5/10/1972 0:00,Deslizamiento
13,11/5/1972 0:00,Flujo
14,8/29/1973 0:00,Deslizamiento
15,4/4/1979 0:00,Deslizamiento
16,4/5/1979 0:00,Deslizamiento
17,6/1/1979 0:00,Deslizamiento
18,6/2/1979 0:00,Deslizamiento
19,6/4/1979 0:00,Deslizamiento
20,10/19/1980 0:00,Deslizamiento
21,10/20/1980 0:00,Deslizamiento
22,10/21/1980 0:00,Deslizamiento
23,11/5/1980 0:00,Flujo
24,6/16/1981 0:00,Deslizamiento
25,6/17/1981 0:00,Deslizamiento
26,6/18/1981 0:00,Deslizamiento
27,11/1/1981 0:00,Flujo
28,5/18/1983 0:00,Flujo
29,5/18/1983 0:00,Deslizamiento
30,7/11/1984 0:00,Flujo
31,7/11/1984 0:00,Flujo
32,8/11/1984 0:00,Deslizamiento
33,9/26/1984 0:00,Flujo
34,7/10/1985 0:00,Deslizamiento
35,12/31/1985 0:00,Deslizamiento
36,5/15/1986 0:00,Deslizamiento
37,8/10/1986 0:00,Deslizamiento
38,9/1/1986 0:00,Flujo
39,9/1/1986 0:00,Flujo
40,2/8/1987 0:00,Deslizamiento
41,7/10/1988 0:00,Deslizamiento
42,8/9/1988 0:00,Deslizamiento
43,9/9/1988 0:00,Flujo
44,9/9/1988 0:00,Flujo
45,11/7/1988 0:00,Deslizamiento
46,11/10/1990 0:00,Flujo
47,1/16/1993 0:00,Deslizamiento
48,9/9/1993 0:00,Flujo
49,11/5/1993 0:00,Flujo
50,5/11/1994 0:00,Flujo
51,8/11/1994 0:00,Flujo
52,8/11/1994 0:00,Deslizamiento
53,9/28/1994 0:00,Flujo
54,11/7/1994 0:00,Deslizamiento
55,9/6/1995 0:00,Flujo
56,5/9/1998 0:00,Deslizamiento
57,5/9/1998 0:00,Deslizamiento
58,9/19/1998 0:00,Deslizamiento
59,9/20/1998 0:00,Deslizamiento
60,9/21/1998 0:00,Deslizamiento
61,9/21/1998 0:00,Deslizamiento
62,3/21/1999 0:00,Deslizamiento
63,3/21/1999 0:00,Deslizamiento
64,11/13/2000 0:00,Deslizamiento
65,1/9/2002 0:00,Deslizamiento
66,10/21/2002 0:00,Deslizamiento
67,5/10/2003 0:00,Deslizamiento
68,7/13/2003 0:00,Deslizamiento
69,8/13/2003 0:00,Deslizamiento
70,8/13/2003 0:00,Deslizamiento
71,8/13/2003 0:00,Deslizamiento
72,8/14/2003 0:00,Deslizamiento
73,8/14/2003 0:00,Deslizamiento
74,9/12/2003 0:00,Deslizamiento
75,10/28/2003 0:00,Deslizamiento
76,2/7/2004 0:00,Deslizamiento
77,3/5/2006 0:00,Deslizamiento
78,5/15/2007 0:00,Deslizamiento
79,5/16/2007 0:00,Deslizamiento
80,3/21/2009 0:00,Deslizamiento
81,3/21/2009 0:00,Deslizamiento
82,3/21/2009 0:00,Deslizamiento
83,3/21/2009 0:00,Deslizamiento
84,3/21/2009 0:00,Deslizamiento
85,7/16/2009 0:00,Deslizamiento
86,2/16/2011 0:00,Deslizamiento
87,10/18/2011 0:00,Deslizamiento
88,7/27/2016 0:00,Deslizamiento
89,7/27/2016 0:00,Deslizamiento
90,7/27/2016 0:00,Deslizamiento
91,7/27/2016 0:00,Deslizamiento
92,7/27/2016 0:00,Deslizamiento
93,10/31/2017 0:00,Deslizamiento
94,6/9/2020 0:00,Deslizamiento
95,7/1/2022 0:00,Deslizamiento
96,9/24/2022 0:00,Deslizamiento
97,9/24/2022 0:00,Deslizamiento
98,1/31/2023 0:00,Deslizamiento
99,9/12/2023 0:00,Deslizamiento
